,Title,Director,Year,Country
391,Survival of the Dead,George A. Romero,2009,USA
392,Swamp Zombies!!!,Len Kabasinski,2005,Japan
393,Tales of Terror,Roger Corman,1962,"Spain, Portugal"
394,Teenage Exorcist,Grant Austin Waldman,1991,UK
395,Teenage Zombies,Jerry Warren,1959,USA
396,Terror-Creatures from the Grave,Massimo Pupillo,1965,USA
397,The Omega Man,Boris Sagal,1971,South Korea
398,The Wailing,Hong-jin Na,2016,Philippines
399,They Came Back,Robin Campillo,2004,USA
400,They Walk,Charles House II,2010,Australia
401,Tokyo Zombie,Sakichi Satô,2005,USA
402,Tombs of the Blind Dead,Amando de Ossorio,1972,Japan
403,Tormented,Jon Wright,2009,Japan
404,Toxic Zombies,Charles McCrann,1980,USA
405,Trailer Park of Terror,Steven Goldmann,2008,USA
406,Train to Busan,Sang-ho Yeon,2016,USA
407,Trip Ubusan: The Lolas vs Zombies,Mark A. Reyes,2017,Spain
408,Uncle Sam,William Lustig,1996,Malaysia
409,Undead,"Michael Spierig, Peter Spierig",2003,Japan
410,Undead or Alive: A Zombedy,Glasgow Phillips,2007,USA
411,Undead Pool,Kôji Kawano,2007,"USA, Canada, Indonesia"
412,Uniform SurviGirl I,Hiroshi Kaneko,2008,USA
413,Urban Decay,Harry Basil,2007,"USA, Canada"
414,Valley of the Zombies,Philip Ford,1946,"Belgium, France, Italy, Liechtenstein"
415,Vampires vs. Zombies,Mike Goodreau,2013,Germany
416,Vengeance of the Zombies,León Klimovsky,1973,USA
417,Vere Vazhi Ille,M.S. Prem Nath,2015,USA
418,Versus,Ryûhei Kitamura,2000,USA
419,V/H/S,"Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett, Justin Martinez, Glenn McQuaid, Radio Silence, Joe Swanberg, Chad Villella, Ti West, Adam Wingard",2012,USA
420,V/H/S/2,"Simon Barrett, Jason Eisener, Gareth Evans, Gregg Hale, Eduardo Sánchez, Timo Tjahjanto, Adam Wingard",2013,"USA, Lithuania, Italy"
421,The Video Dead,Robert Scott,1987,"USA, Canada"
422,The Vineyard,"James Hong, William Rice",1989,USA
423,A Virgin Among the Living Dead,"Jesús Franco, Pierre Quérut, Jean Rollin",1973,USA
424,Virus Undead,"Wolf Wolff, Ohmuthi(co-director)",2008,"USA, West Germany, UK"
425,VooDoo,Tom Costabile,2017,"USA, UK"
426,Voodoo Dawn,Steven Fierberg,1991,USA
427,Voodoo Island,Reginald Le Borg,1957,Denmark
428,Voodoo Man,William Beaudine,1944,USA
429,War of the Dead,Marko Mäkilaakso,2011,USA
430,Warm Bodies,Jonathan Levine,2013,Poland
431,Warning Sign,Hal Barwood,1985,Japan
432,Wasting Away,Mitch Collier,2009,UK
433,Waxwork,Anthony Hickox,1988,"USA, UK, Malta"
434,Waxwork II: Lost in Time,Anthony Hickox,1992,Australia
435,Weekend at Bernie's II,Robert Klane,1993,Italy
436,Kongefamilien på Sorgenfri Slot,Kaj Holbech,1941,USA
437,White Zombie,Victor Halperin,1932,USA
438,Wicked Little Things,J.S. Cardone,2006,N/A
439,Wilczyca,Marek Piestrak,1983,France
440,Wild Zero,Tetsuro Takeuchi,1999,Italy
441,The Woman Eater,Charles Saunders,1958,Taiwan
442,World War Z,Marc Forster,2013,Italy
443,Wyrmwood: Road of the Dead,Kiah Roache-Turner,2014,"UK, USA"
444,Z Island,N/A,2015,Japan
445,Zeta,Cosimo Alemà,2016,USA
446,ZMD: Zombies of Mass Destruction,Kevin Hamedani,2009,Australia
447,Zombeavers,Jordan Rubin,2014,USA
448,"Papá, soy una zombi 2: Rebelión putrefacta",N/A,2014,UK
449,Zombi Child,Bertrand Bonello,2019,Taiwan
450,Zombie,Lucio Fulci,1979,Thailand
451,Zombie 108,Joe Chien,2012,USA
452,Zombie 5: Killing Birds,"Claudio Lattanzi, Joe D'Amato",1987,Italy
453,Zombie Apocalypse,Nick Lyon,2011,Italy
454,Zombie Ass: The Toilet of the Dead,Noboru Iguchi,2011,USA
455,Zombie Bloodbath,Todd Sheets,1993,USA
456,Zombie Brigade,"Carmelo Musca, Barrie Pattison",1988,UK
457,The Zombie Chronicles,Brad Sykes,2001,"France, Spain"
458,The Zombie Diaries,"Michael G. Bartlett, Kevin Gates",2006,Canada
459,Zombie Fight Club,Joe Chien,2014,USA
460,Kud Krachak Krien,Poj Arnon,2017,USA
461,Zombie High,Ron Link,1987,USA
462,Zombie Holocaust,Marino Girolami,1980,Canada
463,Zombie Holocaust,Marino Girolami,1980,Canada
464,Zombie Honeymoon,David Gebroe,2004,USA
465,Zombie Hunter,K. King,2013,Japan
466,The Zombie King,Aidan Belizaire,2013,USA
467,Zombie Lake,"Jean Rollin, Julian de Laserna",1981,UK
468,Zombie Massacre,Eric Weller,2002,USA
469,Zombie Nation,Ulli Lommel,2004,USA
470,Zombie Night,John Gulager,2013,UK
471,Zombie Night,John Gulager,2013,USA
472,Zombie Night 2: Awakening,David J. Francis,2006,USA
473,Zombie Nightmare,"Jack Bravman, John Fasano",1987,USA
474,Zombie Planet,George Bonilla,2004,USA
475,Zombie Self-Defense Force,Naoyuki Tomomatsu,2006,USA
476,Zombie Strippers!,Jay Lee,2008,UK
477,Zombie Undead,Rhys Davies,2010,USA
478,Zombie! vs. Mardi Gras,"Karl DeMolay, Will Frank, Mike Lyddon",1999,USA
479,Zombie Wars,David A. Prior,2007,USA
